mx_center 	 my_center 	 mz_center 	 Acc_X 	 Acc_Y 	 Acc_Z 	 Gcc_X 	 Gcc_Y 	 Gcc_Z 	 Mcc_X 	 Mcc_Y 	 Mcc_Z 	 heading 	 tiltheading 	 temper 	 pres 	 atm 	 alt
0.00 	0.00 	0.00 	0.14 	0.63 	0.91 	0.00 	-0.08 	0.79 	2.34 	-5.86 	6.74 	291.80 	278.57 	27.64 	101216.00 	1.00 	9.08 	
0.00 	0.00 	0.00 	0.14 	0.63 	0.90 	-0.05 	0.00 	0.96 	2.64 	-5.27 	6.45 	296.57 	281.35 	27.62 	101212.00 	1.00 	9.41 	
0.00 	0.00 	0.00 	0.14 	0.63 	0.91 	-0.14 	0.08 	0.87 	2.34 	-4.39 	6.45 	298.07 	280.26 	27.64 	101215.00 	1.00 	9.16 	
0.00 	0.00 	0.00 	0.15 	0.63 	0.92 	0.06 	0.39 	0.98 	3.22 	-5.27 	6.45 	301.43 	284.98 	27.63 	101215.00 	1.00 	9.16 	
0.00 	0.00 	0.00 	0.14 	0.63 	0.92 	0.01 	0.06 	0.81 	2.64 	-5.86 	6.45 	294.23 	280.80 	27.64 	101216.00 	1.00 	9.08 	
0.00 	0.00 	0.00 	0.15 	0.63 	0.92 	0.11 	-0.16 	1.05 	2.93 	-5.57 	6.45 	297.76 	282.69 	27.64 	101216.00 	1.00 	9.08 	
mx_center 	 my_center 	 mz_center 	 Acc_X 	 Acc_Y 	 Acc_Z 	 Gcc_X 	 Gcc_Y 	 Gcc_Z 	 Mcc_X 	 Mcc_Y 	 Mcc_Z 	 heading 	 tiltheading 	 temper 	 pres 	 atm 	 alt
0.00 	0.00 	0.00 	0.14 	0.63 	0.91 	0.29 	-0.05 	0.63 	2.34 	-5.57 	6.45 	292.83 	279.26 	27.65 	101215.00 	1.00 	9.16 	
0.00 	0.00 	0.00 	0.14 	0.63 	0.91 	-0.21 	-0.24 	0.98 	2.34 	-5.57 	6.45 	292.83 	279.26 	27.65 	101210.00 	1.00 	9.58 	
0.00 	0.00 	0.00 	0.14 	0.63 	0.91 	0.20 	-0.04 	0.38 	2.93 	-5.57 	6.45 	297.76 	283.05 	27.66 	101216.00 	1.00 	9.08 	
0.00 	0.00 	0.00 	0.15 	0.62 	1.05 	-2.48 	-10.06 	-1.76 	2.34 	-5.27 	6.45 	293.96 	279.29 	27.66 	101215.00 	1.00 	9.16 	
0.00 	0.00 	0.00 	0.40 	0.09 	0.05 	48.45 	-31.30 	-78.44 	3.22 	-5.86 	8.79 	298.81 	265.36 	27.67 	101212.00 	1.00 	9.41 	
0.00 	0.00 	0.00 	-0.56 	0.30 	0.51 	-109.95 	-25.82 	106.40 	4.10 	0.88 	-13.18 	12.09 	125.17 	28.58 	101205.00 	1.00 	10.00 	
0.00 	0.00 	0.00 	-0.09 	0.65 	0.90 	-1.91 	-0.34 	-3.42 	4.10 	3.81 	7.91 	42.88 	337.38 	28.54 	101210.00 	1.00 	9.58 	
0.00 	0.00 	0.00 	-0.15 	0.66 	0.87 	-2.73 	0.43 	3.52 	5.57 	2.34 	9.08 	22.83 	331.94 	28.43 	101211.00 	1.00 	9.50 	
