mx_center 	 my_center 	 mz_center 	 Acc_X 	 Acc_Y 	 Acc_Z 	 Gcc_X 	 Gcc_Y 	 Gcc_Z 	 Mcc_X 	 Mcc_Y 	 Mcc_Z 	 heading 	 tiltheading 	 temper 	 pres 	 atm 	 alt
0.00 	0.00 	0.00 	0.01 	0.72 	0.93 	-14.86 	-35.03 	-40.54 	15.82 	5.27 	4.98 	18.43 	359.89 	23.82 	101558.00 	1.00 	-19.38 	
0.00 	0.00 	0.00 	0.05 	1.02 	0.61 	81.09 	-27.40 	-51.70 	7.91 	4.98 	-5.57 	32.20 	 NAN 	23.86 	101559.00 	1.00 	-19.46 	
0.00 	0.00 	0.00 	0.18 	0.75 	0.90 	-78.09 	-116.63 	-167.68 	9.67 	6.74 	0.00 	34.88 	17.42 	23.93 	101558.00 	1.00 	-19.38 	
0.00 	0.00 	0.00 	-0.12 	0.37 	1.04 	29.42 	-11.00 	51.37 	20.51 	4.10 	1.76 	11.31 	11.27 	23.95 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	-0.31 	0.43 	0.99 	28.11 	50.27 	81.79 	21.68 	-0.29 	4.39 	359.23 	2.46 	23.96 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	-0.28 	0.53 	0.96 	31.36 	9.30 	30.75 	19.92 	2.34 	4.69 	6.71 	7.06 	23.96 	101560.00 	1.00 	-19.54 	
0.00 	0.00 	0.00 	0.17 	0.70 	0.90 	-66.17 	44.72 	11.53 	18.75 	0.88 	6.45 	2.68 	340.47 	23.98 	101559.00 	1.00 	-19.46 	
0.00 	0.00 	0.00 	0.06 	0.22 	1.01 	38.02 	4.80 	41.63 	21.39 	1.76 	3.52 	4.70 	1.81 	23.98 	101559.00 	1.00 	-19.46 	
0.00 	0.00 	0.00 	0.17 	0.16 	0.98 	-11.57 	-34.53 	-2.56 	16.11 	4.39 	2.64 	15.26 	12.56 	23.98 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.08 	0.54 	0.98 	14.65 	69.62 	-27.50 	19.34 	1.46 	-2.34 	4.33 	4.94 	23.99 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	-0.04 	0.48 	1.05 	1.51 	2.97 	6.63 	19.63 	1.17 	-2.05 	3.42 	7.05 	24.03 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.09 	0.51 	1.12 	15.82 	-47.02 	12.07 	19.04 	1.17 	-1.46 	3.52 	2.68 	24.05 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.04 	0.53 	1.02 	5.74 	-4.45 	1.72 	19.34 	0.59 	-1.46 	1.74 	2.46 	24.06 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.11 	0.49 	1.03 	9.73 	-10.25 	-0.53 	19.04 	0.88 	-0.88 	2.64 	0.49 	24.08 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.12 	0.23 	1.23 	-27.76 	98.58 	10.68 	16.41 	2.05 	-4.98 	7.13 	8.96 	24.09 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.31 	0.35 	1.12 	-4.23 	27.24 	53.99 	12.01 	4.10 	-3.81 	18.85 	16.70 	24.11 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.23 	0.16 	1.13 	-4.71 	13.82 	-72.07 	11.43 	2.64 	-2.64 	12.99 	12.50 	24.14 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.09 	0.08 	1.14 	2.24 	-10.03 	-11.62 	12.30 	2.93 	-3.22 	13.39 	13.85 	24.19 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.09 	-0.14 	1.07 	11.75 	-5.31 	1.69 	12.89 	2.64 	-4.10 	11.56 	9.50 	24.25 	101560.00 	1.00 	-19.54 	
0.00 	0.00 	0.00 	-0.02 	-0.04 	1.14 	0.40 	-0.10 	-25.42 	11.43 	2.93 	-4.10 	14.38 	13.74 	24.41 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.04 	0.03 	1.13 	0.16 	-0.80 	3.43 	12.30 	2.64 	-4.10 	12.09 	12.47 	24.48 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.15 	0.06 	1.10 	-18.07 	-50.97 	44.11 	11.72 	2.93 	-3.22 	14.04 	14.02 	24.41 	101567.00 	1.00 	-20.13 	
0.00 	0.00 	0.00 	0.16 	0.09 	1.11 	-0.10 	1.34 	2.66 	12.01 	2.93 	-3.22 	13.71 	13.78 	24.40 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.17 	0.09 	1.12 	0.05 	-0.12 	0.88 	12.01 	3.22 	-3.22 	15.02 	14.98 	24.40 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.17 	0.09 	1.12 	0.05 	-0.09 	0.48 	12.30 	2.64 	-2.64 	12.09 	12.00 	24.41 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.16 	0.08 	1.12 	0.10 	0.17 	0.73 	12.60 	2.93 	-3.22 	13.09 	13.08 	24.42 	101560.00 	1.00 	-19.54 	
0.00 	0.00 	0.00 	0.17 	0.09 	1.12 	-0.16 	-0.21 	0.54 	12.01 	2.93 	-2.93 	13.71 	13.64 	24.43 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.24 	0.22 	1.04 	-9.43 	-28.68 	2.02 	12.60 	2.93 	-2.93 	13.09 	12.32 	24.43 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.21 	0.21 	1.09 	0.21 	-0.39 	0.73 	12.89 	3.22 	-3.52 	14.04 	13.91 	24.44 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.26 	0.14 	1.13 	10.78 	-2.23 	8.13 	12.60 	3.22 	-2.64 	14.35 	13.54 	24.44 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.25 	0.21 	1.09 	0.29 	-0.13 	0.74 	12.60 	3.52 	-2.93 	15.59 	14.57 	24.44 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.25 	0.21 	1.09 	0.12 	0.10 	1.17 	13.18 	2.93 	-2.64 	12.53 	11.35 	24.44 	101564.00 	1.00 	-19.88 	
