temperature C 	 humidity % 	 gyroX 	 gyroY 	 gyroZ 	 accelX 	 accelY 	 accelZ 	 accelTotal 	 pressureIMU 	 temperatureIMU 	 altitude 	
temperature C 	 humidity % 	 gyroX 	 gyroY 	 gyroZ 	 accelX 	 accelY 	 accelZ 	 accelTotal 	 pressureIMU 	 temperatureIMU 	 altitude 	
23	76	2.28	-0.38	-14.44	-1.96	0.28	10.19	252.17	1012.15	24.23	9.15	
23	76	-0.32	0.77	-1.28	-3.46	0.67	9.68	254.32	1012.18	24.29	8.89	
23	76	15.95	16.61	3.67	-2.35	2.35	10.58	253.10	1012.08	24.30	9.78	
23	76	9.58	16.01	13.66	-5.12	7.41	6.85	254.11	1012.10	24.31	9.56	
23	76	-12.24	47.99	23.53	-3.68	7.56	6.19	251.34	1012.07	24.36	9.81	
23	76	5.32	5.61	-0.32	-3.66	8.45	4.45	251.14	1012.16	24.41	9.09	
23	76	11.14	20.00	78.99	2.23	1.67	10.80	271.92	1012.06	24.41	9.92	
23	77	-78.20	-11.31	67.91	-2.20	4.41	7.74	281.84	1012.12	24.38	9.41	
23	76	-21.52	100.82	56.12	-5.28	9.85	4.26	274.04	1012.12	24.42	9.38	
23	76	-81.55	1.88	41.65	-4.33	5.89	2.08	260.13	1012.10	24.49	9.60	
23	76	1.59	6.05	42.56	-3.77	8.04	0.53	257.28	1012.01	24.45	10.37	
23	76	17.27	28.14	70.93	0.94	3.71	10.42	260.93	1012.13	24.55	9.32	
24	78	-19.36	13.09	78.76	0.81	3.20	9.16	278.39	1012.24	24.50	8.39	
24	76	7.66	56.40	26.48	-0.42	3.14	7.93	268.21	1012.20	24.53	8.77	
24	76	5.19	-3.85	-3.92	-1.28	6.49	8.01	257.32	1012.10	24.60	9.56	
24	75	-37.03	17.55	12.03	-7.87	7.26	-2.33	265.27	1012.25	24.60	8.32	
24	74	8.13	1.68	-1.76	-3.62	6.20	-6.53	260.73	1012.26	24.56	8.25	
24	74	2.76	6.05	9.23	-3.80	6.89	-5.00	265.36	1012.14	24.57	9.27	
24	74	-16.33	-16.36	-16.27	-2.01	3.45	-4.19	255.06	1012.15	24.59	9.19	
24	73	-7.70	20.30	-10.33	-1.63	2.17	-7.98	254.75	1012.15	24.59	9.18	
24	73	1.96	-1.23	-6.68	-0.05	0.24	-8.93	252.10	1012.21	24.59	8.67	
24	73	-4.16	8.66	-63.02	-0.20	-2.97	-10.22	249.85	1012.33	24.64	7.70	
24	73	-1.91	2.85	2.31	-0.95	-0.74	-9.07	251.88	1012.17	24.65	8.98	
24	72	-0.30	3.82	-5.15	-0.12	-0.06	-9.53	251.44	1012.22	24.65	8.57	
24	73	-0.19	-0.41	0.41	-0.17	-0.04	-9.40	251.94	1012.18	24.66	8.94	
24	73	0.67	0.48	3.23	-0.33	-0.24	-9.57	252.30	1012.21	24.69	8.70	
24	72	-0.31	-0.13	0.45	-0.16	-0.06	-9.48	252.20	1012.18	24.67	8.91	
24	72	-13.94	-55.74	-1.34	-1.04	2.89	-10.84	253.19	1012.18	24.70	8.94	
24	72	-1.63	-16.89	-17.02	2.68	9.10	-1.16	255.84	1012.04	24.71	10.08	
24	72	7.72	3.05	8.53	1.29	9.15	-3.57	255.75	1012.21	24.78	8.66	
24	75	-12.78	18.02	75.24	-3.61	1.51	-8.97	255.70	1012.21	24.77	8.64	
24	75	-286.72	149.63	195.20	4.30	11.37	-2.63	257.62	1012.27	24.80	8.19	
24	75	132.08	157.18	99.64	3.10	10.90	2.27	252.49	1012.23	24.83	8.50	
24	74	-9.65	0.49	-0.21	1.93	9.08	-2.58	255.12	1012.23	24.85	8.47	
24	75	11.86	6.68	-11.12	-0.20	4.13	-9.04	253.05	1012.17	24.87	9.02	
24	76	3.68	-3.51	-3.40	-0.20	-0.09	-9.47	252.72	1012.21	24.87	8.64	
24	75	0.00	-0.53	0.25	-0.11	-0.02	-9.45	253.80	1012.23	24.87	8.50	
24	75	1.47	-7.83	9.25	-0.20	0.41	-9.24	253.52	1012.27	24.88	8.17	
24	74	-0.13	-0.63	0.16	-0.12	-0.01	-9.44	253.68	1012.19	24.85	8.84	
24	74	2.40	7.17	1.66	0.06	-0.07	-9.50	253.85	1012.31	24.91	7.82	
24	73	-0.35	3.18	0.56	-0.07	-0.10	-9.46	258.38	1012.24	24.87	8.43	
24	73	-0.09	-0.50	0.20	-0.13	-0.04	-9.45	258.59	1012.24	24.89	8.45	
24	73	-2.22	-0.34	0.38	-0.12	-0.04	-9.47	258.72	1012.19	24.90	8.80	
24	73	-0.07	-0.31	0.29	-0.14	-0.01	-9.47	259.14	1012.17	24.90	9.03	
24	72	-8.27	-9.41	-0.05	0.38	-0.11	-9.30	262.20	1012.19	24.91	8.84	
24	72	-0.17	-2.46	-0.42	1.14	-0.32	-9.29	262.44	1012.34	24.95	7.54	
24	72	-0.40	-0.45	0.54	1.11	-0.33	-9.34	262.13	1012.23	24.90	8.48	
24	71	0.52	1.81	-3.61	-0.11	-0.01	-9.38	263.26	1012.32	24.95	7.71	
24	71	17.89	-5.03	-0.38	-3.44	5.03	-7.26	262.05	1012.29	24.93	8.03	
24	71	3.28	2.07	-1.07	-0.93	-0.06	-9.49	262.98	1012.13	24.96	9.29	
24	73	-0.81	-0.45	-6.02	-0.93	0.05	-9.36	263.22	1012.33	25.06	7.65	
24	72	-1.47	-0.25	0.71	0.49	-2.06	-9.26	254.70	1012.24	25.01	8.42	
24	72	1.34	1.09	-0.50	-0.16	-1.15	-9.41	252.90	1012.27	25.05	8.19	
24	71	-2.56	-2.41	0.25	-0.52	-0.64	-9.39	257.21	1012.17	25.03	8.98	
24	71	-0.06	0.64	-8.62	-0.80	0.23	-9.42	260.55	1012.17	25.05	9.02	
24	71	1.57	0.60	0.20	-0.58	-0.03	-9.47	259.54	1012.33	25.07	7.69	
24	71	-35.03	-24.20	5.73	0.91	-1.23	-9.16	256.18	1012.24	25.08	8.43	
24	71	3.07	1.69	1.01	-0.17	-0.19	-9.47	255.08	1012.31	25.10	7.83	
24	70	12.22	7.50	-2.89	-0.19	-0.16	-9.51	256.69	1012.32	25.11	7.72	
24	70	0.04	-0.60	0.38	-0.24	-0.09	-9.44	258.67	1012.34	25.11	7.54	
24	70	-0.14	-0.50	0.21	-0.23	-0.07	-9.49	258.41	1012.24	25.10	8.42	
24	70	-0.35	-0.45	0.17	-0.21	-0.07	-9.45	258.35	1012.26	25.11	8.22	
24	70	-0.19	-0.41	0.52	-0.27	-0.08	-9.43	259.17	1012.15	25.07	9.13	
24	70	0.11	-0.29	0.29	-0.26	-0.06	-9.45	259.58	1012.15	25.12	9.20	
24	70	2.07	-0.19	0.85	-0.29	-0.03	-9.29	255.54	1012.25	25.08	8.32	
24	70	-0.07	2.52	-1.56	-0.10	-0.11	-9.42	255.60	1012.14	25.09	9.23	
24	70	0.02	-0.50	0.23	-0.25	-0.05	-9.41	257.29	1012.17	25.09	8.97	
24	70	2.10	-0.40	0.29	-0.27	-0.05	-9.47	257.51	1012.13	25.06	9.37	
